GEOID,NAME,average,state_abbr,state_name
39153,Summit County ,57.86,OH,Ohio
39085,Lake County ,30.43,OH,Ohio
39055,Geauga County ,12.57,OH,Ohio
39103,Medina County ,29.86,OH,Ohio
39165,Warren County ,23.0,OH,Ohio
39133,Portage County ,22.29,OH,Ohio
13013,Barrow County ,15.0,GA,Georgia
13089,DeKalb County ,144.86,GA,Georgia
13067,Cobb County ,140.0,GA,Georgia
13113,Fayette County ,26.71,GA,Georgia
13135,Gwinnett County ,166.86,GA,Georgia
13057,Cherokee County ,29.71,GA,Georgia
13063,Clayton County ,45.29,GA,Georgia
13097,Douglas County ,33.57,GA,Georgia
13121,Fulton County ,206.0,GA,Georgia
13247,Rockdale County ,17.57,GA,Georgia
13297,Walton County ,13.71,GA,Georgia
13151,Henry County ,46.0,GA,Georgia
13117,Forsyth County ,47.71,GA,Georgia
26087,Lapeer County ,13.14,MI,Michigan
26049,Genesee County ,66.29,MI,Michigan
26125,Oakland County ,289.71,MI,Michigan
26147,St. Clair County ,43.71,MI,Michigan
26115,Monroe County ,29.71,MI,Michigan
26093,Livingston County ,24.71,MI,Michigan
26099,Macomb County ,206.29,MI,Michigan
26163,Wayne County ,488.29,MI,Michigan
26161,Washtenaw County ,82.29,MI,Michigan
12103,Pinellas County ,159.43,FL,Florida
12119,Sumter County ,20.0,FL,Florida
12085,Martin County ,20.86,FL,Florida
12127,Volusia County ,67.57,FL,Florida
12095,Orange County ,169.86,FL,Florida
12081,Manatee County ,58.29,FL,Florida
12011,Broward County ,346.71,FL,Florida
12105,Polk County ,121.14,FL,Florida
12021,Collier County ,57.29,FL,Florida
12057,Hillsborough County ,214.14,FL,Florida
12099,Palm Beach County ,243.57,FL,Florida
12069,Lake County ,46.86,FL,Florida
12086,Miami-Dade County ,667.43,FL,Florida
12009,Brevard County ,74.29,FL,Florida
12117,Seminole County ,53.71,FL,Florida
12097,Osceola County ,57.43,FL,Florida
12101,Pasco County ,81.0,FL,Florida
4003,Cochise County ,38.43,AZ,Arizona
4019,Pima County ,250.0,AZ,Arizona
4027,Yuma County ,22.86,AZ,Arizona
4023,Santa Cruz County ,12.0,AZ,Arizona
4025,Yavapai County ,49.14,AZ,Arizona
4013,Maricopa County ,825.57,AZ,Arizona
4021,Pinal County ,86.43,AZ,Arizona
4015,Mohave County ,37.0,AZ,Arizona
4007,Gila County ,23.71,AZ,Arizona
35043,Sandoval County ,69.71,NM,New Mexico
35061,Valencia County ,51.43,NM,New Mexico
35031,McKinley County ,47.43,NM,New Mexico
35049,Santa Fe County ,54.71,NM,New Mexico
55131,Washington County ,19.86,WI,Wisconsin
55101,Racine County ,31.86,WI,Wisconsin
55059,Kenosha County ,30.86,WI,Wisconsin
42075,Lebanon County ,23.43,PA,Pennsylvania
