GEOID,NAME,average,state_abbr,state_name
54023,Grant County ,30.68,WV,West Virginia
54045,Logan County ,15.64,WV,West Virginia
54059,Mingo County ,25.41,WV,West Virginia
54031,Hardy County ,23.74,WV,West Virginia
54071,Pendleton County ,16.2,WV,West Virginia
54027,Hampshire County ,19.57,WV,West Virginia
20133,Neosho County ,16.83,KS,Kansas
20123,Mitchell County ,22.96,KS,Kansas
20089,Jewell County ,9.8,KS,Kansas
20193,Thomas County ,12.78,KS,Kansas
20147,Phillips County ,23.77,KS,Kansas
20141,Osborne County ,27.75,KS,Kansas
20163,Rooks County ,13.96,KS,Kansas
20195,Trego County ,10.0,KS,Kansas
20067,Grant County ,13.13,KS,Kansas
20167,Russell County ,16.38,KS,Kansas
20153,Rawlins County ,34.16,KS,Kansas
20135,Ness County ,19.34,KS,Kansas
20055,Finney County ,13.14,KS,Kansas
35028,Los Alamos County ,38.91,NM,New Mexico
35011,De Baca County ,90.15,NM,New Mexico
35043,Sandoval County ,49.52,NM,New Mexico
35061,Valencia County ,67.71,NM,New Mexico
35021,Harding County ,31.12,NM,New Mexico
35037,Quay County ,25.59,NM,New Mexico
35051,Sierra County ,26.94,NM,New Mexico
35055,Taos County ,46.04,NM,New Mexico
35017,Grant County ,71.78,NM,New Mexico
35053,Socorro County ,40.34,NM,New Mexico
35033,Mora County ,31.31,NM,New Mexico
35031,McKinley County ,65.11,NM,New Mexico
35039,Rio Arriba County ,66.87,NM,New Mexico
35007,Colfax County ,31.22,NM,New Mexico
35045,San Juan County ,106.93,NM,New Mexico
35003,Catron County ,12.11,NM,New Mexico
35019,Guadalupe County ,39.12,NM,New Mexico
35001,Bernalillo County ,54.77,NM,New Mexico
35005,Chaves County ,12.88,NM,New Mexico
35047,San Miguel County ,26.5,NM,New Mexico
35023,Hidalgo County ,32.68,NM,New Mexico
35049,Santa Fe County ,36.74,NM,New Mexico
35027,Lincoln County ,30.8,NM,New Mexico
35057,Torrance County ,37.56,NM,New Mexico
35029,Luna County ,22.37,NM,New Mexico
35006,Cibola County ,28.59,NM,New Mexico
21215,Spencer County ,36.02,KY,Kentucky
21069,Fleming County ,23.68,KY,Kentucky
21067,Fayette County ,28.15,KY,Kentucky
21049,Clark County ,22.3,KY,Kentucky
21087,Green County ,32.4,KY,Kentucky
21019,Boyd County ,36.83,KY,Kentucky
21217,Taylor County ,24.09,KY,Kentucky
21171,Monroe County ,16.12,KY,Kentucky
21063,Elliott County ,53.21,KY,Kentucky
21033,Caldwell County ,17.96,KY,Kentucky
21223,Trimble County ,67.81,KY,Kentucky
21237,Wolfe County ,21.76,KY,Kentucky
21141,Logan County ,31.92,KY,Kentucky
21161,Mason County ,24.15,KY,Kentucky
21219,Todd County ,12.72,KY,Kentucky
21233,Webster County ,36.92,KY,Kentucky
21071,Floyd County ,53.78,KY,Kentucky
21227,Warren County ,36.5,KY,Kentucky
21205,Rowan County ,30.32,KY,Kentucky
21145,McCracken County ,32.39,KY,Kentucky
21077,Gallatin County ,31.19,KY,Kentucky
21129,Lee County ,16.93,KY,Kentucky
21191,Pendleton County ,30.5,KY,Kentucky
21117,Kenton County ,34.0,KY,Kentucky
21169,Metcalfe County ,49.98,KY,Kentucky
21123,LaRue County ,43.39,KY,Kentucky
21047,Christian County ,16.01,KY,Kentucky
21079,Garrard County ,20.61,KY,Kentucky
21197,Powell County ,34.78,KY,Kentucky
21015,Boone County ,30.43,KY,Kentucky
21147,McCreary County ,42.12,KY,Kentucky
21211,Shelby County ,26.87,KY,Kentucky
21229,Washington County ,40.41,KY,Kentucky
21001,Adair County ,34.9,KY,Kentucky
21089,Greenup County ,33.55,KY,Kentucky
21003,Allen County ,32.29,KY,Kentucky
21111,Jefferson County ,39.33,KY,Kentucky
21041,Carroll County ,30.68,KY,Kentucky
21045,Casey County ,41.6,KY,Kentucky
21153,Magoffin County ,23.69,KY,Kentucky
21039,Carlisle County ,20.66,KY,Kentucky
21137,Lincoln County ,26.28,KY,Kentucky
21065,Estill County ,29.94,KY,Kentucky
21029,Bullitt County ,31.1,KY,Kentucky
21027,Breckinridge County ,27.03,KY,Kentucky
21151,Madison County ,32.17,KY,Kentucky
21035,Calloway County ,35.0,KY,Kentucky
21031,Butler County ,39.23,KY,Kentucky
21199,Pulaski County ,24.94,KY,Kentucky
21201,Robertson County ,26.66,KY,Kentucky
21195,Pike County ,41.33,KY,Kentucky
21095,Harlan County ,24.74,KY,Kentucky
21121,Knox County ,37.68,KY,Kentucky
21125,Laurel County ,30.15,KY,Kentucky
21127,Lawrence County ,14.48,KY,Kentucky
21133,Letcher County ,35.28,KY,Kentucky
21135,Lewis County ,19.06,KY,Kentucky
21139,Livingston County ,29.3,KY,Kentucky
21017,Bourbon County ,24.82,KY,Kentucky
21037,Campbell County ,50.32,KY,Kentucky
21083,Graves County ,21.45,KY,Kentucky
21009,Barren County ,35.65,KY,Kentucky
21149,McLean County ,35.21,KY,Kentucky
21159,Martin County ,20.38,KY,Kentucky
21183,Ohio County ,18.99,KY,Kentucky
21239,Woodford County ,32.84,KY,Kentucky
21113,Jessamine County ,29.16,KY,Kentucky
21203,Rockcastle County ,25.47,KY,Kentucky
21179,Nelson County ,45.01,KY,Kentucky
21051,Clay County ,20.09,KY,Kentucky
21155,Marion County ,38.63,KY,Kentucky
21057,Cumberland County ,31.92,KY,Kentucky
21167,Mercer County ,59.09,KY,Kentucky
21073,Franklin County ,29.54,KY,Kentucky
21109,Jackson County ,11.75,KY,Kentucky
21093,Hardin County ,45.2,KY,Kentucky
21185,Oldham County ,27.32,KY,Kentucky
21099,Hart County ,59.05,KY,Kentucky
21101,Henderson County ,19.51,KY,Kentucky
21005,Anderson County ,39.23,KY,Kentucky
21085,Grayson County ,50.21,KY,Kentucky
21053,Clinton County ,44.77,KY,Kentucky
